85 2.3
80 2.7
75 3.3
70 3.8
65 4.2
60 4.4
55 4.6
50 4.7
45 4.8
40 5.4
35 5.6
30 5.4
25 5.3
20 5
15 4.8
10 3.7
8 3.1
6 3.1
4 3.8
2 3
0 0
2 4.5
4 7.7
6 7.9
8 9
10 9.8
15 11.8
20 13.2
25 14.5
30 16
35 17.1
40 18.1
45 18.6
50 19.4
55 19.9
60 20.3
65 20.8
70 20.9
75 20.6
80 20.4
85 20.4
90 20.3
95 20.1
100 20.1
105 19.8
110 19.2
115 18.7
120 18.1
125 17.8
130 17.1
135 16.8
140 15.9
145 15
150 14.5
155 14
160 13.4
165 12.9
170 12.2
175 11.1
180 10.9
185 9.9
190 9.1
195 8.3
200 7
205 6.3
210 5.6
215 4
